"week","Loser","Winner","Wk","Date","Day","pts_w","pts_l","w_rank_coaches","w_rank_ap","l_rank_coaches","l_rank_ap","coach","ap"
2012-08-18,"akron","central florida","1",2012-08-30,"Thu","56","14",NA,NA,NA,NA,NA,NA
2012-08-18,"alabama-birmingham","troy","1",2012-09-01,"Sat","39","29",NA,NA,NA,NA,NA,NA
2012-08-18,"appalachian state","east carolina","1",2012-09-01,"Sat","35","13",NA,NA,NA,NA,NA,NA
2012-08-18,"arkansas state","oregon","1",2012-09-01,"Sat","57","34",NA,5,NA,NA,NA,1
2012-08-18,"auburn","clemson","1",2012-09-01,"Sat","26","19",NA,14,NA,NA,NA,1
2012-08-18,"austin peay","western kentucky","1",2012-09-01,"Sat","49","10",NA,NA,NA,NA,NA,NA
2012-08-18,"boise state","michigan state","1",2012-08-31,"Fri","17","13",NA,13,NA,24,NA,1
2012-08-18,"boston college","miami (fl)","1",2012-09-01,"Sat","41","32",NA,NA,NA,NA,NA,NA
2012-08-18,"bowling green state","florida","1",2012-09-01,"Sat","27","14",NA,23,NA,NA,NA,1
2012-08-18,"buffalo","georgia","1",2012-09-01,"Sat","45","23",NA,6,NA,NA,NA,1
2012-08-18,"california","nevada","1",2012-09-01,"Sat","31","24",NA,NA,NA,NA,NA,NA
2012-08-18,"central arkansas","mississippi","1",2012-09-01,"Sat","49","27",NA,NA,NA,NA,NA,NA
2012-08-18,"chattanooga","south florida","1",2012-09-01,"Sat","34","13",NA,NA,NA,NA,NA,NA
2012-08-18,"colorado","colorado state","1",2012-09-01,"Sat","22","17",NA,NA,NA,NA,NA,NA
2012-08-18,"eastern kentucky","purdue","1",2012-09-01,"Sat","48","6",NA,NA,NA,NA,NA,NA
2012-08-18,"eastern michigan","ball state","1",2012-08-30,"Thu","37","26",NA,NA,NA,NA,NA,NA
2012-08-18,"elon","north carolina","1",2012-09-01,"Sat","62","0",NA,NA,NA,NA,NA,NA
2012-08-18,"florida international","duke","1",2012-09-01,"Sat","46","26",NA,NA,NA,NA,NA,NA
2012-08-18,"georgia tech","virginia tech","1",2012-09-03,"Mon","20","17",NA,16,NA,NA,NA,1
2012-08-18,"hawaii","southern california","1",2012-09-01,"Sat","49","10",NA,1,NA,NA,NA,1
2012-08-18,"houston","texas state","1",2012-09-01,"Sat","30","13",NA,NA,NA,NA,NA,NA
2012-08-18,"idaho","eastern washington","1",2012-08-30,"Thu","20","3",NA,NA,NA,NA,NA,NA
2012-08-18,"idaho state","air force","1",2012-09-01,"Sat","49","21",NA,NA,NA,NA,NA,NA
2012-08-18,"indiana state","indiana","1",2012-09-01,"Sat","24","17",NA,NA,NA,NA,NA,NA
2012-08-18,"jackson state","mississippi state","1",2012-09-01,"Sat","56","9",NA,NA,NA,NA,NA,NA
