"Rank","Team","Record","Points","PreviousPrev","year","poll","week"
1,"Alabama (59)","12-1",1475,"2",2012,"AP","2013-01-08"
2,"Oregon","11-1",1358,"5",2012,"AP","2013-01-08"
3,"Ohio State","12-0",1302,"3",2012,"AP","2013-01-08"
4,"Notre Dame","12-0",1288,"1",2012,"AP","2013-01-08"
5,"Georgia","11-2",1230,"6",2012,"AP","2013-01-08"
5,"Texas A&M","10-2",1230,"10",2012,"AP","2013-01-08"
7,"Stanford","11-2",1169,"8",2012,"AP","2013-01-08"
8,"South Carolina","10-2",1038,"11",2012,"AP","2013-01-08"
9,"Florida","11-1",933,"4",2012,"AP","2013-01-08"
10,"Florida State","11-2",922,"13",2012,"AP","2013-01-08"
11,"Clemson","10-2",889,"14",2012,"AP","2013-01-08"
12,"Kansas State","11-1",871,"7",2012,"AP","2013-01-08"
13,"Louisville","10-2",781,"22",2012,"AP","2013-01-08"
14,"LSU","10-2",756,"9",2012,"AP","2013-01-08"
15,"Oklahoma","10-2",615,"12",2012,"AP","2013-01-08"
16,"Utah State","10-2",456,"18",2012,"AP","2013-01-08"
17,"Northwestern","9-3",443,"21",2012,"AP","2013-01-08"
18,"Boise State","10-2",419,"20",2012,"AP","2013-01-08"
19,"Texas","8-4",358,"NR",2012,"AP","2013-01-08"
20,"Oregon State","9-3",303,"15",2012,"AP","2013-01-08"
21,"San Jose State","10-2",243,"24",2012,"AP","2013-01-08"
22,"Northern Illinois","12-1",227,"16",2012,"AP","2013-01-08"
23,"Vanderbilt","8-4",180,"NR",2012,"AP","2013-01-08"
24,"Michigan","8-4",147,"19",2012,"AP","2013-01-08"
25,"Nebraska","10-3",119,"23",2012,"AP","2013-01-08"
1,"Alabama (56)","12-1",1400,"2",2012,"Coaches","2013-01-08"
2,"Oregon","11-1",1322,"3",2012,"Coaches","2013-01-08"
3,"Notre Dame","12-0",1253,"1",2012,"Coaches","2013-01-08"
4,"Georgia","11-2",1213,"5",2012,"Coaches","2013-01-08"
5,"Texas A&M","10-2",1171,"9",2012,"Coaches","2013-01-08"
6,"Stanford","11-2",1167,"8",2012,"Coaches","2013-01-08"
7,"South Carolina","10-2",1064,"10",2012,"Coaches","2013-01-08"
8,"Florida State","11-2",942,"12",2012,"Coaches","2013-01-08"
9,"Clemson","10-2",916,"13",2012,"Coaches","2013-01-08"
10,"Florida","11-1",886,"4",2012,"Coaches","2013-01-08"
11,"Kansas State","11-1",841,"6",2012,"Coaches","2013-01-08"
12,"LSU","10-2",775,"7",2012,"Coaches","2013-01-08"
13,"Louisville","10-2",772,"18",2012,"Coaches","2013-01-08"
14,"Boise State","10-2",633,"15",2012,"Coaches","2013-01-08"
15,"Oklahoma","10-2",600,"11",2012,"Coaches","2013-01-08"
16,"Northwestern","9-3",580,"17",2012,"Coaches","2013-01-08"
17,"Utah State","10-2",444,"20",2012,"Coaches","2013-01-08"
18,"Texas","8-4",398,"25",2012,"Coaches","2013-01-08"
19,"Oregon State","9-3",366,"14",2012,"Coaches","2013-01-08"
20,"Vanderbilt","8-4",248,"NR",2012,"Coaches","2013-01-08"
21,"San Jose State","10-2",244,"24",2012,"Coaches","2013-01-08"
22,"Cincinnati","9-3",186,"NR",2012,"Coaches","2013-01-08"
23,"Nebraska","10-3",175,"21",2012,"Coaches","2013-01-08"
24,"Northern Illinois","12-1",156,"16",2012,"Coaches","2013-01-08"
25,"Tulsa","10-3",110,"NR",2012,"Coaches","2013-01-08"
1,"Notre Dame (60)","12-0",1500,"1",2012,"AP","2012-12-02"
2,"Alabama","12-1",1424,"2",2012,"AP","2012-12-02"
3,"Ohio State","12-0",1302,"4",2012,"AP","2012-12-02"
4,"Florida","11-1",1279,"5",2012,"AP","2012-12-02"
5,"Oregon","11-1",1250,"6",2012,"AP","2012-12-02"
6,"Georgia","11-2",1213,"3",2012,"AP","2012-12-02"
7,"Kansas State","11-1",1129,"7",2012,"AP","2012-12-02"
8,"Stanford","11-2",1094,"8",2012,"AP","2012-12-02"
9,"LSU","10-2",1051,"9",2012,"AP","2012-12-02"
10,"Texas A&M","10-2",1025,"10",2012,"AP","2012-12-02"
11,"South Carolina","10-2",907,"11",2012,"AP","2012-12-02"
12,"Oklahoma","10-2",851,"12",2012,"AP","2012-12-02"
13,"Florida State","11-2",789,"13",2012,"AP","2012-12-02"
14,"Clemson","10-2",691,"15",2012,"AP","2012-12-02"
15,"Oregon State","9-3",638,"16",2012,"AP","2012-12-02"
16,"Northern Illinois","12-1",534,"19",2012,"AP","2012-12-02"
17,"UCLA","9-4",440,"17",2012,"AP","2012-12-02"
18,"Utah State","10-2",379,"20",2012,"AP","2012-12-02"
19,"Michigan","8-4",306,"21",2012,"AP","2012-12-02"
20,"Boise State","10-2",276,"25",2012,"AP","2012-12-02"
21,"Northwestern","9-3",266,"22",2012,"AP","2012-12-02"
22,"Louisville","10-2",248,"NR",2012,"AP","2012-12-02"
23,"Nebraska","10-3",227,"14",2012,"AP","2012-12-02"
24,"San Jose State","10-2",157,"NR",2012,"AP","2012-12-02"
25,"Kent State","11-2",117,"18",2012,"AP","2012-12-02"
1,"Notre Dame (106)","12-0",2866,"1",2012,"Coaches","2012-12-02"
2,"Alabama (9)","12-1",2765,"2",2012,"Coaches","2012-12-02"
3,"Oregon","11-1",2548,"4",2012,"Coaches","2012-12-02"
4,"Florida","11-1",2480,"5",2012,"Coaches","2012-12-02"
5,"Georgia","11-2",2388,"3",2012,"Coaches","2012-12-02"
6,"Kansas State","11-1",2332,"6",2012,"Coaches","2012-12-02"
7,"Stanford","11-2",2142,"8",2012,"Coaches","2012-12-02"
8,"LSU","10-2",2128,"7",2012,"Coaches","2012-12-02"
9,"Texas A&M","10-2",1991,"9",2012,"Coaches","2012-12-02"
10,"South Carolina","10-2",1838,"10",2012,"Coaches","2012-12-02"
11,"Oklahoma","10-2",1745,"11",2012,"Coaches","2012-12-02"
12,"Florida State","11-2",1655,"12",2012,"Coaches","2012-12-02"
13,"Clemson","10-2",1485,"14",2012,"Coaches","2012-12-02"
14,"Oregon State","9-3",1280,"15",2012,"Coaches","2012-12-02"
15,"Boise State","10-2",1058,"17",2012,"Coaches","2012-12-02"
16,"Northern Illinois","12-1",998,"19",2012,"Coaches","2012-12-02"
17,"UCLA","9-4",791,"16",2012,"Coaches","2012-12-02"
18,"Nebraska","10-3",710,"13",2012,"Coaches","2012-12-02"
19,"Louisville","10-2",705,"24",2012,"Coaches","2012-12-02"
20,"Northwestern","9-3",682,"21",2012,"Coaches","2012-12-02"
21,"Utah State","10-2",660,"22",2012,"Coaches","2012-12-02"
22,"Michigan","8-4",525,"23",2012,"Coaches","2012-12-02"
23,"Kent State","11-2",330,"18",2012,"Coaches","2012-12-02"
24,"Texas","8-4",230,"20",2012,"Coaches","2012-12-02"
25,"Wisconsin","8-5",217,"NR",2012,"Coaches","2012-12-02"
1,"Notre Dame (56)","12-0",1470,"1",2012,"Coaches","2012-12-02"
2,"Alabama (3)","12-1",1417,"2",2012,"Coaches","2012-12-02"
3,"Oregon","11-1",1313,"4",2012,"Coaches","2012-12-02"
4,"Florida","11-1",1287,"5",2012,"Coaches","2012-12-02"
5,"Georgia","11-2",1216,"3",2012,"Coaches","2012-12-02"
6,"Kansas State","11-1",1190,"7",2012,"Coaches","2012-12-02"
7,"LSU","10-2",1111,"6",2012,"Coaches","2012-12-02"
8,"Stanford","11-2",1047,"9",2012,"Coaches","2012-12-02"
9,"Texas A&M","10-2",1039,"8",2012,"Coaches","2012-12-02"
10,"South Carolina","10-2",947,"10",2012,"Coaches","2012-12-02"
11,"Oklahoma","10-2",905,"11",2012,"Coaches","2012-12-02"
12,"Florida State","11-2",853,"12",2012,"Coaches","2012-12-02"
13,"Clemson","10-2",769,"14",2012,"Coaches","2012-12-02"
14,"Oregon State","9-3",663,"17",2012,"Coaches","2012-12-02"
15,"Boise State","10-2",569,"15",2012,"Coaches","2012-12-02"
16,"Northern Illinois","12-1",495,"18",2012,"Coaches","2012-12-02"
17,"Northwestern","9-3",444,"20",2012,"Coaches","2012-12-02"
18,"Louisville","10-2",409,"23",2012,"Coaches","2012-12-02"
19,"UCLA","9-4",408,"16",2012,"Coaches","2012-12-02"
20,"Utah State","10-2",334,"22",2012,"Coaches","2012-12-02"
21,"Nebraska","10-3",328,"13",2012,"Coaches","2012-12-02"
22,"Michigan","8-4",278,"24",2012,"Coaches","2012-12-02"
23,"Wisconsin","8-5",115,"NR",2012,"Coaches","2012-12-02"
24,"San Jose State","10-2",110,"NR",2012,"Coaches","2012-12-02"
25,"Texas","8-4",97,"21",2012,"Coaches","2012-12-02"
1,"Notre Dame (60)","12-0",1500,"1",2012,"AP","2012-11-25"
2,"Alabama","11-1",1400,"2",2012,"AP","2012-11-25"
3,"Georgia","11-1",1331,"3",2012,"AP","2012-11-25"
4,"Ohio State","12-0",1294,"4",2012,"AP","2012-11-25"
5,"Florida","11-1",1262,"6",2012,"AP","2012-11-25"
6,"Oregon","11-1",1242,"5",2012,"AP","2012-11-25"
7,"Kansas State","10-1",1079,"7",2012,"AP","2012-11-25"
8,"Stanford","10-2",1061,"11",2012,"AP","2012-11-25"
9,"LSU","10-2",1056,"8",2012,"AP","2012-11-25"
10,"Texas A&M","10-2",1043,"9",2012,"AP","2012-11-25"
11,"South Carolina","10-2",916,"13",2012,"AP","2012-11-25"
12,"Oklahoma","9-2",834,"14",2012,"AP","2012-11-25"
13,"Florida State","10-2",764,"10",2012,"AP","2012-11-25"
14,"Nebraska","10-2",704,"17",2012,"AP","2012-11-25"
15,"Clemson","10-2",667,"12",2012,"AP","2012-11-25"
16,"Oregon State","8-3",528,"16",2012,"AP","2012-11-25"
17,"UCLA","9-3",505,"15",2012,"AP","2012-11-25"
18,"Kent State","11-1",355,"23",2012,"AP","2012-11-25"
19,"Northern Illinois","11-1",349,"24",2012,"AP","2012-11-25"
20,"Utah State","10-2",274,"25",2012,"AP","2012-11-25"
21,"Michigan","8-4",217,"20",2012,"AP","2012-11-25"
22,"Northwestern","9-3",189,"NR",2012,"AP","2012-11-25"
23,"Texas","8-3",185,"18",2012,"AP","2012-11-25"
24,"Oklahoma State","7-4",174,"22",2012,"AP","2012-11-25"
25,"Boise State","9-2",145,"NR",2012,"AP","2012-11-25"
1,"Notre Dame (109)","12-0",2869,"1",2012,"Coaches","2012-11-25"
2,"Alabama (6)","11-1",2740,"2",2012,"Coaches","2012-11-25"
3,"Georgia","11-1",2599,"3",2012,"Coaches","2012-11-25"
4,"Oregon","11-1",2507,"4",2012,"Coaches","2012-11-25"
5,"Florida","11-1",2435,"5",2012,"Coaches","2012-11-25"
6,"Kansas State","10-1",2229,"7",2012,"Coaches","2012-11-25"
7,"LSU","10-2",2142,"8",2012,"Coaches","2012-11-25"
8,"Stanford","10-2",2059,"11",2012,"Coaches","2012-11-25"
9,"Texas A&M","10-2",2038,"10",2012,"Coaches","2012-11-25"
10,"South Carolina","10-2",1862,"12",2012,"Coaches","2012-11-25"
11,"Oklahoma","9-2",1706,"13",2012,"Coaches","2012-11-25"
12,"Florida State","10-2",1614,"6",2012,"Coaches","2012-11-25"
13,"Nebraska","10-2",1493,"14",2012,"Coaches","2012-11-25"
14,"Clemson","10-2",1446,"9",2012,"Coaches","2012-11-25"
